AGS,Gültige,Union,SPD,Linke,AfD,FDP,Grüne,Sonstige
1051057,168,29.8,25.6,4.8,7.1,14.3,11.3,7.1
1051058,78,39.7,15.4,2.6,10.3,23.1,0,8.9
1051060,197,29.9,23.4,1.5,10.2,17.3,10.2,7.5
1051061,287,19.5,40.1,2.1,7.7,13.2,9.8,7.6
1051062,393,23.4,29.3,2,10.9,18.8,10.2,5.4
1051063,260,26.2,24.2,2.7,8.5,16.9,10.4,11.1
1051064,304,28,29.9,3,11.8,11.8,7.6,7.9
1051065,461,21.5,33.6,3.3,9.1,7.8,10.2,14.5
1051067,215,30.7,27,1.9,12.6,12.1,5.1,10.6
1051068,397,29.2,22.7,2,10.8,18.1,9.6,7.6
1051069,976,23.3,31.7,2.4,6.7,14.8,14.4,6.7
1051071,557,23.5,38.2,4.7,9.7,6.5,9.5,7.9
1051072,2384,22.4,28.5,3.2,10.1,17.2,10.7,7.9
1051073,183,25.7,29.5,2.7,10.4,13.7,8.7,9.3
1051074,2929,21.9,30.8,3.8,8.4,11.6,15.1,8.4
1051075,465,23.2,29.2,1.3,12.9,16.6,7.5,9.3
1051076,268,28.4,26.5,2.6,7.5,14.2,10.4,10.4
1051077,78,53.8,6.4,0,9,15.4,9,6.4
1051078,563,24.9,28.2,1.6,8.5,17.1,13,6.7
1051079,203,28.1,29.6,1.5,7.4,10.3,12.8,10.3
1051080,63,38.1,23.8,0,9.5,15.9,9.5,3.2
1051081,104,36.5,12.5,3.8,4.8,29.8,8.7,3.9
1051082,1318,25.2,29,2.2,8.6,14.6,13.1,7.3
1051083,164,26.2,26.2,3,13.4,16.5,5.5,9.2
1051084,104,26,33.7,0,7.7,15.4,9.6,7.6
1051085,144,38.2,12.5,2.8,6.9,16.7,13.2,9.7
1051086,182,30.8,25.3,3.8,7.7,12.1,11.5,8.8
1051087,457,28.4,29.8,2.8,10.9,10.3,10.5,7.3
1051088,535,35,22.4,3.2,13.3,11,7.5,7.6
1051089,99,23.2,25.3,0,15.2,18.2,7.1,11
1051090,72,41.7,13.9,0,15.3,18.1,4.2,6.8
1051092,253,29.6,32.4,3.6,9.5,8.7,7.9,8.3
1051093,214,25.7,22.9,4.7,7,17.8,12.2,9.7
1051096,157,26.1,25.5,1.3,11.5,15.3,14.7,5.6
1051097,1592,26.1,30.8,2.8,11.4,11.1,8.5,9.3
1051098,372,24.7,29,4.6,11.8,13.2,8.3,8.4
1051099,690,29,22.5,2.3,11.6,16.7,8.8,9.1
1051100,298,28.9,20.1,2.3,12.1,18.8,9.1,8.7
1051102,108,36.1,15.7,3.7,5.6,19.4,8.3,11.2
1051103,102,32.4,26.5,2.9,2.9,13.7,13.7,7.9
1051104,155,23.9,15.5,3.9,14.8,19.4,12.3,10.2
1051105,183,28.4,21.9,1.6,14.2,15.3,10.4,8.2
1051107,186,30.6,25.8,3.2,10.2,14,8.1,8.1
1051108,61,37.7,19.7,0,0,16.4,16.4,9.8
1051109,193,23.3,30.1,3.1,10.9,10.9,13.5,8.2
1051110,380,36.1,24.2,0.8,8.2,15,9.5,6.2
1051113,558,30.8,27.8,3.4,9.3,12.2,7,9.5
1051114,1249,32.7,23,1.8,11.4,13.8,10.1,7.2
1051117,86,26.7,17.4,4.7,10.5,18.6,12.8,9.3
1051118,129,16.3,29.5,2.3,10.9,16.3,10.1,14.6
1051119,153,18.3,30.7,2.6,13.7,16.3,12.4,6
1051121,124,29.8,27.4,1.6,8.1,13.7,12.9,6.5
1051122,1044,29.5,28.4,2.1,6.7,13,13.5,6.8
1051125,194,25.3,23.2,6.2,8.2,20.1,6.2,10.8
1051126,1498,27.6,25.5,3.9,9.3,13.5,10.3,9.9
1051127,1167,23.6,31.3,2.7,10.4,14.2,8.3,9.5
1051128,62,22.6,22.6,1.6,12.9,21,14.5,4.8
1051129,86,31.4,29.1,3.5,4.7,12.8,4.7,13.8
1051130,666,29.3,27.5,2.7,7.2,12.3,14.9,6.1
1051131,55,45.5,10.9,0,3.6,16.4,18.2,5.4
1051132,373,23.6,32.2,2.4,8.6,15.3,8.6,9.3
1051133,93,38.7,12.9,2.2,16.1,16.1,6.5,7.5
1051134,382,30.9,19.6,2.4,10.7,15.2,12,9.2
1051135,188,20.2,22.9,1.1,8.5,23.9,14.4,9
1051136,388,36.9,18,1.8,12.4,15.2,7.5,8.2
1051137,278,30.6,19.4,2.5,10.1,16.2,12.6,8.6
1051138,356,30.3,21.1,3.4,4.8,19.9,10.7,9.8
1051139,179,36.3,16.2,3.4,2.8,21.2,8.9,11.2
1051140,124,32.3,16.9,2.4,11.3,16.1,11.3,9.7
1051141,241,34.4,19.1,2.1,11.6,14.1,12.9,5.8
1053001,188,43.6,19.1,1.6,6.4,13.3,8,8
1053002,360,26.7,25.3,3.9,10.6,14.7,13.1,5.7
1053003,1139,26.8,20.1,4.6,4.9,17.2,22.7,3.7
1053004,429,30.3,19.1,2.1,6.3,16.3,17.9,8
1053005,106,38.7,26.4,0.9,11.3,9.4,8.5,4.8
1053006,296,19.9,23.6,2.4,16.2,17.2,10.5,10.2
1053007,193,25.9,24.4,2.1,9.3,16.6,15,6.7
1053008,212,26.9,14.6,1.4,9,16.5,25.5,6.1
1053009,898,22.7,28.7,2.1,10.5,14.6,13.7,7.7
1053010,63,42.9,14.3,1.6,9.5,20.6,6.3,4.8
1053011,305,18.4,29.5,7.5,6.9,8.5,22.3,6.9
1053012,1947,22.1,30.2,3.6,8.4,13.8,15,6.9
1053013,192,25.5,26,4.2,6.8,17.2,11.5,8.8
1053014,865,23.7,28.4,1.6,13.2,15.1,11.3,6.7
1053015,154,24,16.9,2.6,13.6,15.6,17.5,9.8
1053016,87,17.2,29.9,4.6,9.2,18.4,9.2,11.5
1053017,311,24.1,28.3,2.6,11.6,14.5,9.6,9.3
1053018,129,19.4,18.6,2.3,2.3,10.9,39.5,7
1053019,93,22.6,35.5,0,9.7,15.1,7.5,9.6
1053020,2617,22,31.1,3.4,11,11.1,14.5,6.9
1053021,88,23.9,17,2.3,11.4,29.5,12.5,3.4
1053022,160,27.5,17.5,1.9,16.2,11.9,10,15
1053023,1442,23.8,27.9,2.2,7.9,17.6,15.5,5.1
1053024,88,30.7,31.8,5.7,5.7,4.5,14.8,6.8
1053025,289,26.3,23.2,1.4,10.7,19.7,13.8,4.9
1053026,202,21.8,27.7,5,7.4,9.9,24.3,3.9
1053027,393,26,26,6.6,9.7,13.7,11.7,6.3
1053028,1484,22.4,29.2,2.5,7.7,15.4,17.3,5.5
1053029,209,26.3,30.1,2.9,11,11,12.9,5.8
1053030,324,27.8,27.2,4,8.3,12.3,15.4,5
1053031,207,31.4,19.8,1.9,9.2,13.5,20.3,3.9
1053032,16297,19.6,33.8,4,9.6,12.3,13.6,7.1
1053033,61,32.8,23,0,9.8,18,11.5,4.9
1053034,133,49.6,15.8,3,5.3,12.8,5.3,8.2
1053035,49,12.2,26.5,2,16.3,6.1,22.4,14.5
1053036,179,27.9,27.9,2.2,4.5,17.9,15.1,4.5
1053037,255,25.1,27.8,3.1,5.9,17.6,14.5,6
1053038,117,19.7,27.4,2.6,8.5,17.1,18.8,5.9
1053039,101,21.8,20.8,3,4,20.8,22.8,6.8
1053040,273,29.7,26,0.7,7.7,13.9,16.5,5.5
1053041,1815,24.7,28.6,3.1,6.2,13.3,18.7,5.4
1053042,89,32.6,29.2,1.1,3.4,19.1,11.2,3.4
1053043,467,27.8,23.8,3.2,7.3,12.4,20.8,4.7
1053044,279,14,27.2,2.5,9,15.4,21.9,10
1053045,151,29.1,20.5,1.3,13.9,16.6,10.6,8
1053046,789,26.5,30.8,2,10.4,14.2,9.9,6.2
1053047,669,21.5,35.7,2.4,10.5,13,9.7,7.2
1053048,591,21.3,31.3,2.4,8.5,16.1,14.2,6.2
1053049,255,27.1,26.3,2.4,7.8,15.7,12.9,7.8
1053050,405,31.6,27.4,2.5,12.6,12.6,7.4,5.9
1053051,188,43.6,19.1,1.6,6.4,13.3,8,8
1053052,101,41.6,25.7,1,6.9,15.8,4,5
1053053,249,29.3,28.5,4.8,14.1,15.7,6.4,1.2
1053054,223,27.8,26,4.5,8.1,9.9,15.7,8
1053056,112,25.9,23.2,3.6,12.5,10.7,17,7.1
1053057,124,24.2,29.8,2.4,11.3,11.3,16.1,4.9
1053058,104,24,25,1.9,14.4,18.3,10.6,5.8
1053059,119,24.4,28.6,1.7,4.2,6.7,18.5,15.9
1053060,290,32.1,25.5,1.7,8.6,13.8,13.4,4.9
1053061,548,18.8,32.5,3.8,9.7,15.5,11.3,8.4
1053062,140,20.7,27.9,2.9,10.7,15.7,13.6,8.5
1053064,326,19,32.8,3.7,11.3,10.1,13.8,9.3
1053066,148,26.4,23,3.4,10.1,9.5,21.6,6
1053067,324,24.7,27.2,4.3,6.5,12,19.1,6.2
1053068,300,20.3,27,4.7,8.7,14.3,15.3,9.7
1053069,411,26,25.5,2.4,12.2,14.4,11.9,7.6
1053070,145,17.2,27.6,2.8,6.9,7.6,29,8.9
1053071,302,25.5,26.5,2,4.6,13.6,20.2,7.6
1053072,597,27.8,26.6,3.4,6.7,17.1,13.7,4.7
1053073,198,25.3,23.2,1,17.7,15.2,8.6,9
1053074,93,30.1,12.9,7.5,7.5,8.6,24.7,8.7
1053075,822,23.4,29.3,2.3,7.2,10.9,19.1,7.8
1053076,638,28.4,24,2,5.2,20.7,13.3,6.4
1053077,194,24.2,31.4,1.5,7.2,18,12.4,5.3
1053078,95,21.1,27.4,0,7.4,17.9,15.8,10.4
1053079,480,22.9,31.9,3.5,9.8,11.2,15.2,5.5
1053080,65,30.8,13.8,6.2,16.9,9.2,18.5,4.6
1053081,210,27.6,22.4,2.4,10,14.8,17.1,5.7
1053082,137,27,25.5,1.5,22.6,10.2,5.8,7.4
1053083,5721,20.2,34.8,4.1,10.4,10.6,11.3,8.6
1053084,291,27.1,25.4,1.7,12,13.4,13.1,7.3
1053085,617,30.6,30.8,2.3,8.3,14.6,8.8,4.6
1053086,159,18.9,35.8,3.1,17.6,13.2,5.7,5.7
1053087,357,29.1,26.6,1.4,11.5,12.9,10.1,8.4
1053088,84,31,21.4,4.8,7.1,10.7,20.2,4.8
1053089,264,32.2,19.3,3.4,8.3,15.5,15.5,5.8
1053090,10839,22.3,30.8,3.8,8.5,11.6,15.9,7.1
1053091,101,25.7,22.8,2,13.9,19.8,3,12.8
1053092,581,24.3,22.2,3.4,9.8,14.5,18.1,7.7
1053093,313,22.4,25.2,1.9,8.6,14.1,17.9,9.9
1053094,104,25,24,1.9,9.6,13.5,20.2,5.8
1053095,334,21.6,29,2.4,9,16.2,14.7,7.1
