AGS,Gültige,Union,SPD,Linke,AfD,FDP,Grüne,Sonstige
12067473,2272,13.3,26.6,6.7,28.1,8,5.3,12
12067481,5647,13.1,30.3,8.5,19.8,8.7,6.7,12.9
12067493,2450,15.8,27.9,6.7,25.2,8,5,11.4
12067508,407,15.7,26.5,6.1,29.2,12.5,1.5,8.5
12067520,655,19.4,27.3,7.5,18.6,9.3,6.7,11.2
12067528,645,15,25.3,7.3,29.3,10.9,3.4,8.8
12067544,5680,16.3,27.1,10.4,15.5,9.3,11.1,10.3
12067552,769,17,21.6,5.6,32.8,9.5,3.5,10
12068052,404,19.8,31.7,11.1,14.9,6.7,10.9,4.9
12068072,314,22.6,32.5,3.8,25.8,6.1,2.5,6.7
12068109,452,15.7,34.1,6.6,16.4,12.6,4.4,10.2
12068117,5125,16.5,31.5,7.3,19.5,8.2,7.2,9.8
12068181,2646,16.6,30,7.7,24.3,7.1,4.3,10
12068188,258,21.3,33.3,3.9,20.2,8.5,5,7.8
12068264,5180,17.4,35.5,8.2,18.6,6.7,5.8,7.8
12068280,1213,15.7,33.9,6.5,22.7,7,5.9,8.3
12068306,618,17,34.1,7.3,22.7,6,5,7.9
12068320,17579,14.9,37,8.5,14.5,7.5,9.3,8.3
12068324,1250,18.3,32,8.9,19.6,8.2,5.8,7.2
12068353,4776,15.5,34.9,8.2,19.5,7.3,6.2,8.4
12068372,228,11.4,34.2,11,15.4,8.8,6.6,12.6
12068409,287,14.6,33.4,8.4,21.3,7.3,5.9,9.1
12068413,255,12.2,28.2,6.7,28.6,11,6.3,7
12068417,280,20,36.4,12.1,17.5,6.4,3.9,3.7
12068425,369,17.1,35.8,7.3,19.5,6.5,6.5,7.3
12068426,697,13.3,35.2,7.6,21.5,6,6.3,10.1
12068437,227,14.1,32.6,8.4,24.2,6.6,4.4,9.7
12068452,320,12.8,39.4,10,21.6,5.3,4.4,6.5
12068468,7969,16,32.7,8.5,22.6,6.2,5,9
12068477,3374,18.5,33.5,8.2,17.4,8.6,6.1,7.7
12068501,381,21.5,26.2,7.6,23.9,5.5,6,9.3
12069017,8096,16.3,31.5,7.8,14.9,9.4,9.5,10.6
12069018,1044,16.8,30.5,7.8,18.3,8.4,9,9.2
12069019,329,14.6,34.3,7.3,11.9,6.7,12.5,12.7
12069020,6465,14.1,36.5,8.3,13.1,7.5,9.7,10.8
12069028,570,14.4,31.4,10.7,19.8,8.8,4.6,10.3
12069052,825,14.1,30.5,7.9,18.8,7.2,9.9,11.6
12069056,705,8.5,27.2,8.7,19,8.7,11.9,16
12069076,1546,14.6,32.4,7.1,17.6,8.4,7.6,12.3
12069089,200,15.5,24,6.5,38,7.5,1.5,7
12069216,618,18.9,38.4,6.8,15.2,6.6,4.7,9.4
12069224,561,19.8,29.6,4.5,23.9,8.6,4.1,9.5
12069232,171,22.2,34.5,4.7,19.3,10.5,1.8,7
12069249,5602,16.7,31.1,6.7,17.3,9.6,7.9,10.7
12069270,1452,15.2,29.5,7.2,23.6,7.8,5.6,11.1
12069304,13831,20.6,23.2,5.7,5.5,16.1,23.4,5.5
12069306,6967,15.7,32.4,7.9,17.5,8.2,7.8,10.5
12069345,453,16.6,30.5,6.8,23.4,8.2,4.9,9.6
12069397,8848,16.7,26.5,8,12.2,11.2,15.9,9.5
12069402,489,16,33.7,5.3,19.8,10,4.3,10.9
12069448,806,17.4,39,6.1,16.3,7.7,4.8,8.7
12069454,6363,15.5,28.5,9.8,11.7,11.5,13.9,9.1
12069460,297,14.5,42.8,8.8,17.5,4.4,5.7,6.3
12069470,565,18.2,37.7,3.7,15.6,6.5,6.4,11.9
12069474,499,18,36.7,5.4,15.8,7.8,7,9.3
12069485,442,19.7,35.3,6.8,14,9.3,5,9.9
12069537,404,8.9,35.4,8.9,22,6.9,4,13.9
12069541,538,17.5,29.4,5.2,25.3,5.9,2.8,13.9
12069590,7378,16.1,28.4,9.4,11.3,11.2,14.9,8.7
12069596,2717,14.6,32.5,7.5,16.5,8.2,8.8,11.9
12069604,10332,18.1,25.8,6.2,11.2,13.2,16.7,8.8
12069616,16728,17.1,28.1,6.2,10.7,12.5,15.7,9.7
12069632,4624,14.1,36.3,8,14.9,7.9,7.4,11.4
12069648,240,18.8,27.5,5,27.9,9.6,1.7,9.5
12069656,16817,17.1,30.2,7.7,13.2,10.2,12.3,9.3
12069665,2689,14.5,35.7,9.6,16,7.5,7.1,9.6
12069680,398,14.8,34.4,6,21.4,12.3,3.3,7.8
12069688,1263,16.8,31.4,7.9,17.8,10.4,5.4,10.3
12069696,849,14.8,29.2,7.7,25.1,9.2,4.7,9.3
12070008,998,17.1,29.6,6,24.1,8.4,5.4,9.4
12070028,364,15.7,34.3,8.8,26.4,4.9,3.3,6.6
12070052,661,17.5,30.3,6.5,23,10.3,4.1,8.3
12070060,386,17.4,36.3,6,23.8,7.3,3.4,5.8
12070096,182,11,43.4,7.1,24.2,6,4.9,3.4
12070125,2289,16.3,33.9,7.5,19,8.3,5.3,9.7
12070145,241,17.4,35.3,3.7,23.2,3.3,5.8,11.3
12070149,2161,18.3,32.3,7.4,21.2,6.2,6.2,8.4
12070153,217,13.4,30.9,11.1,24.9,6.5,6.5,6.7
12070173,3534,19.3,33.6,7.1,20.7,8,4.9,6.4
12070222,175,16.6,32.6,6.3,18.9,9.7,4.6,11.3
12070236,343,20.4,24.2,6.1,29.2,7,3.5,9.6
12070241,336,18.5,28.6,4.2,26.2,5.4,2.1,15
12070244,758,16.9,30.1,9.5,20.1,8.2,5.4,9.8
12070246,228,18,32,3.5,24.1,8.8,4.4,9.2
12070266,355,20,28.7,7,22.5,8.2,3.4,10.2
12070280,777,19.2,28.2,6.6,28.7,5.3,5,7
12070296,6546,16.2,34.2,9.9,17.7,8.6,5,8.4
12070300,227,18.1,27.3,10.1,22.5,10.1,4,7.9
12070302,1985,17.4,30.4,8.2,18.4,7.9,6.2,11.5
12070316,6733,15.1,37,7.9,18.9,7.6,4.3,9.2
12070325,1116,15.4,32.6,9.2,22.3,6.7,4.9,8.9
12070348,230,19.6,26.1,8.7,18.3,10.9,8.3,8.1
12070393,262,18.7,32.8,5,22.9,8,3.1,9.5
12070416,502,19.1,31.5,5.4,26.5,7.4,3.4,6.7
12070424,9436,14.6,39,8.2,17.8,6.7,5.3,8.4
12071028,380,15.5,25.8,4.7,23.7,16.8,4.2,9.3
12071032,1781,14.6,25.3,5.5,30.4,11.9,3.9,8.4
12071041,543,18.6,23.6,4.1,27.8,11.2,6.3,8.4
12071044,1475,14.4,27.6,6.7,31.9,9.4,1.6,8.4
12071052,395,9.9,25.1,6.3,36.5,11.4,3.5,7.3
12071057,3524,13.8,28.3,7.8,25.1,10.8,4.1,10.1
12071060,283,20.1,27.9,2.1,28.6,8.5,3.2,9.6
12071074,956,14,25.6,6,34.7,9.8,1.8,8.1
12071076,10255,14,29.8,6.9,26.4,9.8,4.1,9
12071153,431,10.2,24.6,5.8,37.4,8.1,3,10.9
12071160,8982,13.2,34.1,7.7,24.4,8.5,3.9,8.2
12071164,261,13.8,31.4,7.7,25.3,8.8,3.8,9.2
12071176,272,11.4,16.5,4,44.5,7.4,4.4,11.8
12071189,258,7.4,18.6,5,46.9,11.2,3.1,7.8
12071193,766,12.8,24.4,5.1,37.6,8.2,3.3,8.6
12071244,6471,17,25,5.9,25,12.7,4.7,9.7
12071294,813,12.5,20.4,5.8,40.6,9.8,2.2,8.7
12071301,3541,13.9,28.4,6.4,25.7,11.7,4.7,9.2
12071304,1593,13.7,26.4,5.6,32.6,10.7,3.3,7.7
12071337,2340,15.5,26.4,6.6,27.9,9.2,5.1,9.3
12071341,427,17.8,20.8,5.6,34.2,8,3.5,10.1
12071372,13734,14.2,25.8,7.3,30,10.6,3.4,8.7
12071384,359,14.2,21.7,6.1,32,13.9,3.9,8.2
12071386,610,17,27.2,6.4,29,9.8,3.8,6.8
12071392,583,7.9,19.2,6.5,47,9.6,2.1,7.7
12071401,580,14.5,25.2,3.6,34.7,11.9,2.1,8
12071408,1964,12.6,31.7,6.6,24.5,10.6,4.6,9.4
12071412,855,17.7,24,4,27.1,13.3,4.2,9.7
12071414,702,10.1,21.4,5.3,39.9,10.8,3,9.5
12072002,4429,15,27.3,7.7,22,8.9,7.7,11.4
12072014,2608,14.5,30.4,7.2,22.8,6.6,6.8,11.7
12072017,17504,19.1,25.8,6.3,14.9,11.1,10.1,12.7
12072053,2056,16,32.8,8.3,20.7,7.3,4.2,10.7
12072055,269,19.3,37.9,6.3,14.9,5.9,3.3,12.4
12072120,5537,24.2,24.5,4,13.4,13.3,10.9,9.7
12072157,376,17,24.5,8,28.7,7.2,3.5,11.1
12072169,7081,12.9,34.2,8.6,19.9,7.5,6.7,10.2
12072232,10931,13,32.1,11,18.1,8.5,6.9,10.4
12072240,15646,13.7,31.7,9.3,14.1,10,9.2,12
12072297,3427,14.2,35.7,8.8,18.6,6.2,6.5,10
12072298,1466,15.1,37.5,7.1,21.4,6.3,4.8,7.8
12072312,4186,15.3,28.5,8.9,20.7,8.5,6.7,11.4
12072340,7401,17.1,27,6.8,13.6,12.8,12.5,10.2
12072426,5930,16.5,29.4,7.1,17.4,8.2,9,12.4
12072477,10940,15.7,27.5,7.5,19.8,8.5,7.5,13.5
12073008,8137,15.6,33.3,8.5,20.4,7.4,6.1,8.7
12073032,629,19.1,27.2,5.7,25.4,12.9,3.5,6.2
12073069,1933,14.5,32.3,9.5,19.2,6.3,8.2,10
12073085,682,17.7,30.1,6.3,25.7,5.4,6.3,8.5
12073093,221,11.8,23.5,11.3,19.9,2.7,19.5,11.3
12073097,555,15.3,31,5.6,29.9,5.8,3.6,8.8
12073157,224,11.2,32.1,11.2,20.1,7.6,5.4,12.4
12073189,788,21.4,26.4,5.1,31.9,6.2,2.5,6.5
12073201,652,16.7,27.6,9.8,19.5,8.3,8.1,10
12073216,375,17.9,29.1,5.6,23.5,8.8,3.7,11.4
12073225,856,21.4,27.9,5.5,25.6,6.5,4.6,8.5
12073261,505,16.8,26.1,6.7,27.5,4.6,6.7,11.6
12073309,278,25.2,28.8,6.8,24.5,4,4,6.7
12073384,1935,17.9,31.7,10.6,17.2,5.8,8,8.8
12073386,492,11.2,31.9,4.9,31.3,8.5,3.5,8.7
12073393,193,19.2,23.8,7.3,34.7,3.6,4.7,6.7
12073396,535,16.6,31.4,10.1,23.4,6.4,3.9,8.2
12073404,156,16,35.3,10.3,19.2,7.7,1.9,9.6
12073429,2776,18.2,28.9,8.1,23.1,7.5,5.8,8.4
12073430,751,13.8,29.6,8.5,24.4,8.5,5.2,10
12073440,400,11.5,27.8,9.2,34,4.8,5.2,7.5
12073452,10011,16,33.1,8,23.4,7.6,4,7.9
12073458,426,22.3,19.5,6.1,33.1,8.5,3.3,7.2
12073490,264,14,27.3,6.1,27.7,9.1,3.8,12
12073520,245,15.9,29.4,9.4,20.8,6.5,6.1,11.9
12073532,17369,13.8,40.4,7.7,19.8,6.6,4.3,7.4
12073565,237,23.2,25.3,7.2,30,4.6,2.5,7.2
12073569,279,21.5,22.2,8.6,19.7,6.5,13.6,7.9
12073572,9159,16.6,34,9.9,18.2,6.7,6.4,8.2
12073578,492,19.5,26.8,6.3,25.8,7.7,4.5,9.4
12073579,1499,16.9,28,7.3,24.4,7.8,4.9,10.7
12073603,701,15.4,26.1,7,31.7,8.4,4,7.4
12073645,294,10.9,30.6,8.8,30.3,8.2,3.4,7.8
13003000,120197,12.5,29.3,14.2,11.4,8.8,14.6,9.2
13004000,53689,14.5,31.3,12.3,13.7,8.9,11.1,8.2
13071001,234,17.9,31.6,6.8,25.2,6.4,3,9.1
13071002,138,18.8,26.1,8,33.3,5.1,2.2,6.5
13071003,175,17.1,29.1,10.9,28,7.4,1.7,5.8
13071004,1596,21.3,25.5,8.5,26.3,8.3,2.6,7.5
13071005,251,17.5,31.5,12.4,21.5,6.4,5.2,5.5
13071006,234,16.7,31.6,6.4,27.4,6,3,8.9
13071007,298,18.5,23.2,9.7,24.5,7.7,6.4,10
13071008,216,21.3,23.1,3.7,33.8,6,4.2,7.9
13071009,71,21.1,22.5,11.3,31,4.2,2.8,7.1
13071010,349,17.8,24.1,11.5,25.2,8.9,3.4,9.1
13071011,713,14.9,25.8,10.5,26.8,7.6,5.2,9.2
13071012,305,16.1,29.8,11.8,21,5.6,7.2,8.5
13071013,264,17.4,31.1,11.4,22,8,3,7.1
13071014,270,21.9,20.7,10,34.1,7,0,6.3
13071015,103,23.3,35.9,7.8,11.7,8.7,7.8,4.8
13071016,224,12.1,29.5,13.4,31.2,3.1,0.4,10.3
13071018,129,20.9,27.1,10.1,22.5,6.2,1.6,11.6
13071019,504,28.2,21.2,6.7,25.6,5.8,3.4,9.1
13071020,77,13,40.3,2.6,29.9,6.5,2.6,5.1
13071021,2080,16.5,26.5,8.5,27.1,8.1,3.6,9.7
13071022,352,19.9,23.6,10.5,34.9,4,0.9,6.2
13071023,192,18.8,28.1,10.4,29.2,5.7,1,6.8
13071025,366,15.8,30.6,10.7,27.3,6.3,4.6,4.7
13071026,370,15.4,30,10.8,27,5.7,3.5,7.6
13071027,2552,22.1,29.7,8.4,22.9,7.2,2.7,7
13071028,382,20.4,24.6,10.7,27,6,4.2,7.1
13071029,5149,22.9,26.2,10,26.4,6.4,2.6,5.5
13071032,280,30,25,8.9,19.6,7.5,3.9,5.1
13071033,2729,17.4,26.4,10.6,21.3,7.8,8,8.5
13071034,228,12.7,35.1,10.5,23.2,9.6,3.9,5
13071035,2176,19.3,26,9.2,27.3,6.5,2.3,9.4
13071036,456,18.4,30.3,8.8,21.9,9.2,2.6,8.8
13071037,420,20.5,20.2,10.2,29,7.6,4,8.5
13071039,441,21.8,31.7,10,25.2,5.7,0.9,4.7
13071041,139,22.3,23,14.4,26.6,2.9,2.2,8.6
13071042,128,17.2,21.9,12.5,29.7,10.2,1.6,6.9
13071043,217,22.6,23.5,10.1,24.4,10.1,4.1,5.2
13071044,127,23.6,18.9,10.2,23.6,6.3,6.3,11.1
13071045,152,19.7,28.3,5.9,30.9,5.3,2,7.9
13071047,513,18.1,23,9.7,29.6,7.4,3.1,9.1
13071048,108,24.1,28.7,4.6,25,7.4,5.6,4.6
13071049,180,18.9,13.9,4.4,40.6,10.6,3.9,7.7
13071050,120,22.5,18.3,5,40.8,5,1.7,6.7
13071053,50,22,36,10,18,6,6,2
13071054,411,15.8,25.3,9.2,27.5,7.1,1.2,13.9
13071055,554,18.1,24,13,21.8,8.8,5.6,8.7
13071056,443,21,28.7,10.6,20.8,8.8,2,8.1
13071057,289,15.6,29.1,12.8,26.6,7.6,2.8,5.5
13071058,149,21.5,32.2,6,17.4,8.1,9.4,5.4
13071059,217,27.6,26.3,6.9,25.8,3.7,0.9,8.8
13071060,191,16.8,30.9,6.8,30.9,5.2,2.6,6.8
13071063,202,14.4,41.6,7.9,27.7,3.5,1,3.9
13071065,199,25.1,20.6,7.5,22.6,9,4.5,10.7
13071066,215,21.9,25.6,6.5,27,8.8,6,4.2
13071067,407,19.2,25.3,10.1,21.6,9.1,6.1,8.6
13071068,257,22.2,24.1,10.5,27.2,7.8,2.7,5.5
13071069,308,17.5,28.2,9.4,26.3,7.1,6.8,4.7
13071070,330,16.1,24.5,15.2,23.6,10,4.2,6.4
13071071,260,19.6,24.6,6.2,27.7,10.8,4.6,6.5
13071072,95,15.8,30.5,18.9,18.9,7.4,4.2,4.3
13071073,75,17.3,22.7,16,6.7,1.3,24,12
13071074,119,16,34.5,10.1,25.2,8.4,0.8,5
13071075,275,24,23.3,6.5,24,10.2,6.5,5.5
13071076,317,24.6,20.8,8.5,23.7,9.1,3.5,9.8
13071077,401,19,33.7,9,19.2,9.7,4.7,4.7
13071078,175,16,26.3,9.1,28,9.1,5.1,6.4
13071079,263,18.3,29.7,8.4,29.3,7.6,1.5,5.2
13071080,234,17.5,24.8,8.1,27.4,6,6.4,9.8
13071081,128,20.3,35.9,6.2,18,9.4,3.1,7.1
13071083,88,15.9,29.5,12.5,28.4,2.3,5.7,5.7
13071084,251,25.5,29.5,9.6,23.1,2.4,2.4,7.5
13071087,250,20.8,30.8,7.2,17.2,4.8,7.6,11.6
13071088,198,22.2,24.2,10.1,17.7,7.6,8.1,10.1
13071089,125,28.8,17.6,7.2,35.2,4.8,1.6,4.8
13071090,450,18.9,28.2,9.6,23.8,4.9,4.9,9.7
13071092,2498,16.1,31.3,11,27.1,5.3,3.4,5.8
13071093,2569,15.9,30.9,9.3,24.3,7.8,4.9,6.9
13071096,119,16.8,26,10.1,37,3.4,0.8,5.9
13071097,159,16.4,24.5,9.4,23.9,6.3,8.2,11.3
13071099,1336,16.7,29.4,9.4,23.2,6.8,6.4,8.1
13071100,272,18,18.8,12.1,30.1,5.5,3.3,12.2
13071101,588,18.4,28.2,9.4,26.9,5.1,4.4,7.6
13071102,233,16.7,25.3,11.6,21.5,8.2,2.1,14.6
13071103,291,15.1,29.6,8.9,28.2,8.2,4.5,5.5
13071104,156,14.7,19.2,7.7,35.3,9,5.1,9
13071105,115,14.8,29.6,7,33.9,4.3,4.3,6.1
13071107,35239,15.6,30.6,13.6,17.6,7.8,6.2,8.6
13071108,566,15.5,33.6,10.4,23,7.1,3.4,7
13071109,777,31.8,21,5.4,26.3,6.7,2.6,6.2
13071110,10940,16.3,33.4,12,16.4,7,7.1,7.8
13071111,438,18.3,29.9,9.4,18.5,9.6,5,9.3
13071112,221,22.2,20.4,4.5,36.2,7.2,5.4,4.1
13071113,280,15.4,28.2,9.3,27.9,6.4,2.9,9.9
13071114,121,17.4,28.1,9.1,19,14.9,2.5,9
13071115,1688,17.3,27.3,8.4,26.8,6.8,5.5,7.9
13071117,252,16.7,27.4,10.7,27.8,6.3,4,7.1
13071118,157,15.9,33.1,14,15.3,3.8,10.2,7.7
13071119,146,20.5,29.5,4.8,22.6,7.5,4.1,11
13071120,113,20.4,25.7,7.1,26.5,8,0,12.3
13071122,846,14.8,31.7,10.5,23.6,6.7,4.7,8
13071123,170,27.6,32.9,8.8,17.6,7.1,2.9,3.1
13071124,1969,16.2,35.8,10.2,18,7.5,5.3,7
13071125,144,39.6,18.8,5.6,18.1,13.9,0.7,3.3
13071127,398,22.9,25.9,8,25.9,9.3,2.3,5.7
13071128,286,17.8,25.5,11.2,29,7.7,2.8,6
13071130,193,20.7,30.1,5.7,23.8,12.4,2.1,5.2
13071131,200,20,22,11,27,6.5,5,8.5
13071132,109,14.7,16.5,17.4,39.5,2.8,4.6,4.5
13071133,195,11.8,40,8.2,23.6,5.1,4.6,6.7
13071135,244,23.4,20.9,6.6,27.9,9,3.7,8.5
13071136,184,27.2,14.1,11.4,32.6,6.5,1.6,6.6
13071137,276,14.1,32.2,12.3,19.9,9.4,3.6,8.5
13071138,151,17.9,29.1,7.9,19.2,12.6,3.3,10
13071139,111,21.6,19.8,16.2,22.5,3.6,5.4,10.9
13071140,361,17.2,21.3,6.4,30.2,8.3,5.8,10.8
13071141,199,23.1,31.2,10.6,22.1,6,2.5,4.5
13071142,1805,18.3,29.8,10.9,24.2,6.2,2.5,8.1
13071143,108,20.4,33.3,2.8,26.9,3.7,7.4,5.5
13071144,219,22.8,29.2,4.1,21.5,8.2,5.5,8.7
13071145,414,18.1,23.9,11.6,26.6,9.2,3.1,7.5
13071146,227,22,28.2,10.1,25.6,3.5,4,6.6
13071147,318,18.2,31.4,14.2,15.7,8.8,4.7,7
13071148,152,33.6,24.3,6.6,23,6.6,1.3,4.6
13071150,184,32.1,20.1,11.4,21.2,9.2,3.3,2.7
13071153,46,17.4,23.9,13,21.7,4.3,4.3,15.4
13071154,168,13.7,30.4,14.9,28.6,4.2,0.6,7.6
13071155,196,17.3,28.6,11.2,21.4,8.2,5.1,8.2
13071156,11492,17.5,31.8,10.9,19.2,7.8,6.2,6.6
13071157,134,19.4,18.7,4.5,43.3,6.7,2.2,5.2
13071158,236,15.7,21.2,8.5,37.3,8.5,0.8,8
13071159,1158,19.6,32.6,9,20,7.3,4,7.5
13071160,231,15.2,23.4,13.4,22.9,9.1,5.6,10.4
13071161,261,22.2,22.6,10,23.4,12.3,3.4,6.1
13071162,253,10.7,31.2,9.9,28.1,4.7,5.9,9.5
13071163,248,23.4,25.8,10.9,26.6,5.6,2.8,4.9
13071164,1671,19.3,25.6,7.9,31.9,6,2.8,6.5
13071166,686,20.8,28.3,7.9,22.7,9,5.2,6.1
13071167,274,11.7,22.6,11.7,22.6,6.2,14.6,10.6
13071169,169,20.7,32,8.3,29,3,3,4
13071170,179,22.9,20.1,7.3,35.2,3.4,3.9,7.2
13071171,96,20.8,35.4,8.3,16.7,6.2,3.1,9.5
13071172,477,21.8,27.7,12.2,21,5.7,5,6.6
13071173,266,16.2,31.2,5.3,27.8,5.3,7.5,6.7
13071174,367,18.3,25.6,6.5,30.2,7.1,5.4,6.9
13071175,494,18.2,24.9,9.5,28.9,5.7,5.7,7.1
13071176,398,22.9,32.2,7.3,17.1,9.5,4.3,6.7
13072001,1312,21.7,26.1,9.2,18,9.2,8.3,7.5
13072002,217,17.5,35.9,6,16.1,6.5,9.2,8.8
13072003,197,22.3,27.9,10.2,23.9,7.6,2.5,5.6
13072004,261,13.8,21.5,7.7,32.2,9.6,5.4,9.8
13072005,228,13.6,32.5,8.3,19.3,10.1,5.7,10.5
13072006,7210,16.1,31.1,11.4,13.6,9.8,8.9,9.1
13072007,605,20.7,24.3,6.1,17,13.4,9.9,8.6
13072008,442,17.6,27.8,9.5,21.7,9.1,6.3,8
13072009,361,18.8,30.7,8,15.5,9.1,8,9.9
13072010,336,25.3,20.8,5.7,29.5,6,2.1,10.6
13072011,201,16.4,34.3,9.9,16.9,6.5,6.5,9.5
13072012,1420,19.9,27.5,9.1,18.8,10.1,5.3,9.3
13072013,613,17.3,29.2,7.3,24.5,8,3.9,9.8
13072014,548,15.1,26.6,8.9,28.1,8.9,4,8.4
13072015,474,23,28.1,9.3,15,6.8,8,9.8
13072017,697,18.5,29.3,8.6,18.7,12.1,8,4.8
13072018,300,15.7,31.7,8.7,15.3,8.3,12,8.3
13072019,1610,18.9,24.8,9.4,21.8,11.6,6.1,7.4
13072020,2404,16.3,31.6,10.2,21.2,7.8,3.8,9.1
13072021,368,15.2,19.6,12,25,6.8,11.1,10.3
13072022,525,15,30.1,9.7,23.8,6.1,6.3,9
13072023,200,21.5,29,15.5,18,2.5,10,3.5
13072024,97,19.6,36.1,8.2,21.6,5.2,3.1,6.2
13072026,201,22.9,24.4,9.5,21.4,10.9,2.5,8.4
13072027,278,18.3,23,13.7,21.2,9.4,7.2,7.2
13072028,88,26.1,31.8,9.1,19.3,4.5,6.8,2.4
13072029,4485,18,26.1,9.9,18.8,10.4,8.1,8.7
13072030,1718,20.7,27.8,9.1,16.6,13.2,6.8,5.8
13072031,106,28.3,24.5,6.6,21.7,11.3,3.8,3.8
13072032,421,17.1,24.2,12.4,22.3,9.3,6.2,8.5
13072033,173,22,24.9,10.4,20.2,8.1,4,10.4
13072035,990,21.6,24.3,7.8,28.4,6.3,3.1,8.5
13072036,2648,19,33.6,13.8,12.8,7.7,6.9,6.2
13072038,263,24,24.7,10.3,26.6,4.2,3.4,6.8
13072039,127,9.4,27.6,9.4,22.8,10.2,9.4,11.2
13072040,441,23.1,29.9,6.8,23.4,6.8,2.7,7.3
13072041,357,44.8,17.4,2,20.4,6.2,2.8,6.4
13072042,620,19.4,32.7,6.3,23.9,6.8,3.1,7.8
13072043,15183,15.9,33.4,9.5,18.7,7.7,6.4,8.4
13072044,508,16.7,24.8,8.3,25.2,11.4,6.1,7.5
13072045,150,19.3,34.7,8,18,4,8,8
13072046,247,16.6,24.3,11.3,25.5,12.6,1.6,8.1
13072047,391,17.9,28.9,11.3,15.1,9.7,8.2,8.9
13072048,295,14.6,19,11.5,33.6,8.5,3.7,9.1
13072049,342,21.3,31.9,7,26.3,4.7,2.6,6.2
13072050,492,20.3,23.4,7.9,26.2,6.3,4.9,11
13072051,187,10.2,35.3,10.2,22.5,8,5.9,7.9
13072053,388,16.5,28.9,8,22.4,4.9,1.8,17.5
13072055,123,16.3,27.6,13.8,20.3,5.7,5.7,10.6
13072056,1203,16.5,32.2,10.9,20.2,8.4,4.1,7.7
13072057,1375,21.2,27.5,7.9,13.7,13.2,10.6,5.9
13072058,2697,18.1,32.4,9.3,19.8,6.3,4.9,9.2
13072059,299,14.4,30.1,10.7,25.4,8,5.7,5.7
13072060,4792,19.3,33.4,9.1,13,10.1,7.2,7.9
13072061,159,11.3,30.2,10.7,23.9,8.8,3.1,12
13072062,2363,19.2,27.4,6.9,24.6,9.3,4.8,7.8
13072063,1375,20.1,26.5,8.4,28.6,6.2,3.8,6.4
13072064,1070,19.3,29.4,11.1,15.4,9.9,8.8,6.1
13072066,154,17.5,24.7,6.5,35.1,10.4,4.5,1.3
13072067,345,18.6,27.8,10.4,24.6,5.2,5.5,7.9
13072069,449,18,28.5,8.9,26.5,7.1,4,7
13072071,303,19.8,24.1,9.6,22.1,6.9,8.6,8.9
13072072,550,19.3,20.2,11.8,20.4,12.2,7.8,8.3
13072073,505,21,26.7,6.3,19.6,14.1,7.1,5.2
13072074,2054,16.6,35.1,10.8,19.3,5.1,4.5,8.6
13072075,944,19.9,26,8.3,17.5,14,6.6,7.7
13072077,928,15.5,23.1,9.4,16.9,11.9,14.9,8.3
13072078,71,31,15.5,9.9,19.7,12.7,5.6,5.6
13072079,315,18.7,27,7.3,21.6,8.6,3.2,13.6
13072080,425,16.5,28.7,12.2,16.5,8.2,7.8,10.1
13072081,331,17.2,31.1,13.3,13.6,10.3,5.7,8.8
13072082,305,22,21.6,6.9,25.6,8.5,4.9,10.5
13072083,465,17.4,24.7,8.2,23.7,12.5,7.3,6.2
13072084,143,16.8,29.4,14,16.8,4.9,5.6,12.5
13072085,917,18.1,34.8,8.1,16.9,6.8,9.4,5.9
13072086,404,15.8,27,12.9,17.1,9.7,8.9,8.6
13072087,1132,18.8,28.4,12.4,15.2,11.2,5.7,8.3
13072088,1005,20.1,27.8,9.3,15.8,12.2,8.3,6.5
13072089,279,17.2,30.5,9,17.9,13.6,3.2,8.6
13072090,161,16.8,22.4,11.2,26.7,9.9,5,8
13072091,3897,18,29.4,10.1,17.1,9.7,7,8.7
13072092,208,19.2,35.1,7.2,20.7,5.8,5.3,6.7
13072093,3581,17.6,28.2,9.6,18.7,9.7,5.6,10.6
13072094,186,15.1,24.7,16.1,24.7,6.5,5.4,7.5
13072095,2032,14.6,28.2,10,24.9,7.9,4.5,9.9
13072096,188,18.6,23.4,8.5,28.7,8.5,2.7,9.6
13072098,532,21.8,29.7,7.7,16.2,10.2,9.2,5.2
13072099,255,14.1,27.8,7.1,19.2,9,5.5,17.3
13072101,288,16.7,37.2,8.7,20.1,8.7,2.8,5.8
13072103,217,39.6,18.9,8.8,18,8.8,3.7,2.2
13072104,462,22.7,26.2,11.3,22.3,7.8,2.6,7.1
13072105,1715,22.3,25.4,9,23.8,7.9,3.7,7.9
13072106,4492,18.9,32.9,10.5,20.1,7.6,3.5,6.5
13072107,306,23.2,22.5,5.2,29.1,5.2,3.3,11.5
13072108,270,24.4,17.8,9.3,17,14.8,6.7,10
13072109,167,26.9,26.9,6,29.3,5.4,0,5.5
13072110,143,12.6,30.8,15.4,14.7,7,9.1,10.4
13072111,392,17.9,30.4,8.4,23.7,5.9,3.6,10.1
13072112,548,15.5,26.3,7.7,26.1,11.5,5.5,7.4
13072113,143,23.8,25.2,5.6,18.2,11.9,7.7,7.6
13072114,388,21.4,29.6,7.7,20.1,5.7,5.9,9.6
13072116,356,17.1,26.4,8.1,22.8,9.3,9.3,7
13072117,359,14.8,28.1,7,25.3,8.1,9.2,7.5
13072118,332,16,26.8,7.5,23.5,11.1,3.9,11.2
